Error,Step,Solution,Time
1.000000E-04,8470,29,391
1.000000E-04,8480,29,399
1.000000E-04,8490,29,394
1.000000E-04,8500,29,399
1.000000E-04,8510,29,393
1.000000E-04,8520,29,394
1.000000E-04,8530,29,400
1.000000E-04,8540,29,395
1.000000E-04,8550,29,401
1.000000E-04,8560,29,404
1.000000E-04,8570,29,401
1.000000E-04,8580,29,397
1.000000E-04,8590,29,404
1.000000E-04,8600,29,406
1.000000E-04,8610,29,401
1.000000E-04,8620,29,396
1.000000E-04,8630,29,402
1.000000E-04,8640,29,399
1.000000E-04,8650,29,403
1.000000E-04,8660,29,400
1.000000E-04,8670,29,401
1.000000E-04,8680,29,405
1.000000E-04,8690,29,404
1.000000E-04,8700,29,402
1.000000E-04,8710,29,403
1.000000E-04,8720,29,403
1.000000E-04,8730,29,406
1.000000E-04,8740,29,404
1.000000E-04,8750,29,419
1.000000E-04,8760,29,405
1.000000E-04,8770,29,407
1.000000E-04,8780,29,397
1.000000E-04,8790,29,407
1.000000E-04,8800,29,407
1.000000E-04,8810,29,410
1.000000E-04,8820,29,412
1.000000E-04,8830,29,415
1.000000E-04,8840,29,408
1.000000E-04,8850,29,413
1.000000E-04,8860,29,409
1.000000E-04,8870,29,414
1.000000E-04,8880,29,410
1.000000E-04,8890,29,411
1.000000E-04,8900,29,417
1.000000E-04,8910,29,412
1.000000E-04,8920,29,412
1.000000E-04,8930,29,423
1.000000E-04,8940,29,419
1.000000E-04,8950,29,414
1.000000E-04,8960,29,414
1.000000E-04,8970,29,414
1.000000E-04,8980,29,426
1.000000E-04,8990,29,416
1.000000E-04,9000,29,416
1.000000E-04,9010,29,419
1.000000E-04,9020,29,432
1.000000E-04,9030,29,424
1.000000E-04,9040,29,421
1.000000E-04,9050,29,426
1.000000E-04,9060,29,424
1.000000E-04,9070,29,430
1.000000E-04,9080,29,419
1.000000E-04,9090,29,423
1.000000E-04,9100,29,433
1.000000E-04,9110,29,426
1.000000E-04,9120,29,428
1.000000E-04,9130,29,426
1.000000E-04,9140,29,429
1.000000E-04,9150,29,430
1.000000E-04,9160,29,424
1.000000E-04,9170,29,433
1.000000E-04,9180,29,445
1.000000E-04,9190,29,427
1.000000E-04,9200,29,437
1.000000E-04,9210,29,428
1.000000E-04,9220,29,438
1.000000E-04,9230,29,462
1.000000E-04,9240,29,449
1.000000E-04,9250,29,454
1.000000E-04,9260,29,452
1.000000E-04,9270,29,451
1.000000E-04,9280,29,451
1.000000E-04,9290,29,421
1.000000E-04,9300,29,451
1.000000E-04,9310,29,429
1.000000E-04,9320,29,429
1.000000E-04,9330,29,441
1.000000E-04,9340,29,440
